Freq.	S11(V2)	S12(V2)	S21(V2)	S22(V2)
1.15436762890542e+09	(-3.25900928608096e+00dB,-7.17739507717327e+01°)	(-2.22418292824705e+01dB,-1.27324293075510e+02°)	(1.87238159279296e+01dB,-5.38049680594187e+01°)	(-2.25779429119169e+00dB,-3.91440750927492e+01°)
1.16101519914953e+09	(-3.27606983600092e+00dB,-7.21383011016142e+01°)	(-2.22084994911293e+01dB,-1.27485404224426e+02°)	(1.87053189971397e+01dB,-5.40587095309625e+01°)	(-2.27814798243726e+00dB,-3.93157371568339e+01°)
1.16770105025759e+09	(-3.29323868788637e+00dB,-7.25041775343094e+01°)	(-2.21752835492247e+01dB,-1.27646803360343e+02°)	(1.86866868528810e+01dB,-5.43132330791245e+01°)	(-2.29866018331776e+00dB,-3.94877493901981e+01°)
1.17442540267474e+09	(-3.31051572317997e+00dB,-7.28715842453119e+01°)	(-2.21421816564694e+01dB,-1.27808486812464e+02°)	(1.86679190747101e+01dB,-5.45685372405968e+01°)	(-2.31933162572008e+00dB,-3.96601085362590e+01°)
1.18118847811557e+09	(-3.32790080601982e+00dB,-7.32405254007607e+01°)	(-2.21091940020274e+01dB,-1.27970450862310e+02°)	(1.86490152507450e+01dB,-5.48246205070481e+01°)	(-2.34016303863633e+00dB,-3.98328113055441e+01°)
1.18799049957147e+09	(-3.34539378243150e+00dB,-7.36110051913003e+01°)	(-2.20763207662570e+01dB,-1.28132691771882e+02°)	(1.86299749759102e+01dB,-5.50814813531604e+01°)	(-2.36115514888714e+00dB,-4.00058543927517e+01°)
1.19483169131792e+09	(-3.36299447960138e+00dB,-7.39830278434117e+01°)	(-2.20435621210746e+01dB,-1.28295205790279e+02°)	(1.86107978515628e+01dB,-5.53391182431107e+01°)	(-2.38230868143247e+00dB,-4.01792344764606e+01°)
1.20171227892193e+09	(-3.38070270650932e+00dB,-7.43565976182110e+01°)	(-2.20109182303999e+01dB,-1.28457989165902e+02°)	(1.85914834850354e+01dB,-5.55975296426396e+01°)	(-2.40362435896344e+00dB,-4.03529482448795e+01°)
1.20863248924948e+09	(-3.39851825243502e+00dB,-7.47317187554597e+01°)	(-2.19783892453443e+01dB,-1.28621038070399e+02°)	(1.85720314944367e+01dB,-5.58567139428622e+01°)	(-2.42510290149629e+00dB,-4.05269923097650e+01°)
1.21559255047297e+09	(-3.41644088862413e+00dB,-7.51083955785766e+01°)	(-2.19459753126972e+01dB,-1.28784348738554e+02°)	(1.85524415001547e+01dB,-5.61166696000109e+01°)	(-2.44674502721619e+00dB,-4.07013633621900e+01°)
1.22259269207877e+09	(-3.43447036504351e+00dB,-7.54866323860776e+01°)	(-2.19136765652408e+01dB,-1.28947917311873e+02°)	(1.85327131345311e+01dB,-5.63773949788804e+01°)	(-2.46855145191107e+00dB,-4.08760579878313e+01°)
1.22963314487476e+09	(-3.45260641312855e+00dB,-7.58664335352479e+01°)	(-2.18814931295747e+01dB,-1.29111739970957e+02°)	(1.85128460340256e+01dB,-5.66388884850584e+01°)	(-2.49052288908269e+00dB,-4.10510728326766e+01°)
1.23671414099797e+09	(-3.47084874327101e+00dB,-7.62478033807844e+01°)	(-2.18494251201429e+01dB,-1.29275812839188e+02°)	(1.84928398451790e+01dB,-5.69011484684554e+01°)	(-2.51266004987097e+00dB,-4.12264044832299e+01°)
1.24383591392222e+09	(-3.48919704515656e+00dB,-7.66307463333166e+01°)	(-2.18174726437514e+01dB,-1.29440132056329e+02°)	(1.84726942200845e+01dB,-5.71641732967603e+01°)	(-2.53496364364313e+00dB,-4.14020495433445e+01°)
1.25099869846580e+09	(-3.50765098797403e+00dB,-7.70152668185708e+01°)	(-2.17856357968842e+01dB,-1.29604693741210e+02°)	(1.84524088190623e+01dB,-5.74279613179672e+01°)	(-2.55743437720712e+00dB,-4.15780046085899e+01°)
1.25820273079927e+09	(-3.52621021938309e+00dB,-7.74013692808636e+01°)	(-2.17539146653291e+01dB,-1.29769493986133e+02°)	(1.84319833110228e+01dB,-5.76925108546265e+01°)	(-2.58007295517647e+00dB,-4.17542662507832e+01°)
1.26544824845316e+09	(-3.54487436583670e+00dB,-7.77890582058987e+01°)	(-2.17223093261837e+01dB,-1.29934528891609e+02°)	(1.84114173714513e+01dB,-5.79578202384206e+01°)	(-2.60288008000631e+00dB,-4.19308310595166e+01°)
1.27273549032589e+09	(-3.56364303109580e+00dB,-7.81783381021224e+01°)	(-2.16908198455769e+01dB,-1.30099794530494e+02°)	(1.83907106846766e+01dB,-5.82238877741377e+01°)	(-2.62585645223574e+00dB,-4.21076955927364e+01°)
1.28006469669157e+09	(-3.58251579729733e+00dB,-7.85692135018932e+01°)	(-2.16594462795913e+01dB,-1.30265286968293e+02°)	(1.83698629429384e+01dB,-5.84907117598126e+01°)	(-2.64900276997697e+00dB,-4.22848564159897e+01°)
1.28743610920799e+09	(-3.60149222367569e+00dB,-7.89616889818203e+01°)	(-2.16281886750608e+01dB,-1.30431002274526e+02°)	(1.83488738455809e+01dB,-5.87582904979174e+01°)	(-2.67231972955382e+00dB,-4.24623100994399e+01°)
1.29484997092453e+09	(-3.62057184699303e+00dB,-7.93557691400152e+01°)	(-2.15970470682745e+01dB,-1.30596936507397e+02°)	(1.83277431003395e+01dB,-5.90266222798680e+01°)	(-2.69580802495378e+00dB,-4.26400532151006e+01°)
1.30230652629023e+09	(-3.63975418020519e+00dB,-7.97514585921611e+01°)	(-2.15660214838348e+01dB,-1.30763085696141e+02°)	(1.83064704244732e+01dB,-5.92957053681901e+01°)	(-2.71946834823570e+00dB,-4.28180823063010e+01°)
1.30980602116179e+09	(-3.65903871212855e+00dB,-8.01487620110074e+01°)	(-2.15351119376652e+01dB,-1.30929445888241e+02°)	(1.82850555417482e+01dB,-5.95655380435635e+01°)	(-2.74330138999440e+00dB,-4.29963939320074e+01°)
1.31734870281173e+09	(-3.67842490981332e+00dB,-8.05476840776286e+01°)	(-2.15043184350028e+01dB,-1.31096013128666e+02°)	(1.82634981844364e+01dB,-5.98361185838776e+01°)	(-2.76730783776068e+00dB,-4.31749846863457e+01°)
1.32493481993651e+09	(-3.69791221249863e+00dB,-8.09482295264876e+01°)	(-2.14736409698785e+01dB,-1.31262783438714e+02°)	(1.82417980938271e+01dB,-6.01074452428890e+01°)	(-2.79148837888517e+00dB,-4.33538510984708e+01°)
1.33256462266473e+09	(-3.71750003905537e+00dB,-8.13504030828105e+01°)	(-2.14430795254538e+01dB,-1.31429752844222e+02°)	(1.82199550198814e+01dB,-6.03795162782504e+01°)	(-2.81584369672747e+00dB,-4.35329897688444e+01°)
1.34023836256540e+09	(-3.73718777883679e+00dB,-8.17542095645045e+01°)	(-2.14126340760277e+01dB,-1.31596917383582e+02°)	(1.81979687192176e+01dB,-6.06523299593335e+01°)	(-2.84037447535403e+00dB,-4.37123972536171e+01°)
1.34795629265623e+09	(-3.75697479909457e+00dB,-8.21596537699794e+01°)	(-2.13823045832923e+01dB,-1.31764273074901e+02°)	(1.81758389588472e+01dB,-6.09258845341989e+01°)	(-2.86508139531776e+00dB,-4.38920701427692e+01°)
1.35571866741194e+09	(-3.77686043975327e+00dB,-8.25667405543765e+01°)	(-2.13520909990588e+01dB,-1.31931815945353e+02°)	(1.81535655134417e+01dB,-6.12001782587489e+01°)	(-2.88996513646902e+00dB,-4.40720050198918e+01°)
1.36352574277268e+09	(-3.79684401595539e+00dB,-8.29754747926758e+01°)	(-2.13219932641792e+01dB,-1.32099542024893e+02°)	(1.81311481664036e+01dB,-6.14752093902476e+01°)	(-2.91502637644062e+00dB,-4.42521984967487e+01°)
1.37137777615249e+09	(-3.81692481475452e+00dB,-8.33858614086401e+01°)	(-2.12920113088545e+01dB,-1.32267447344720e+02°)	(1.81085867095503e+01dB,-6.17509761855783e+01°)	(-2.94026579227603e+00dB,-4.44326471715436e+01°)
1.37927502644772e+09	(-3.83710209738023e+00dB,-8.37979053493281e+01°)	(-2.12621450522747e+01dB,-1.32435527940825e+02°)	(1.80858809434679e+01dB,-6.20274769045869e+01°)	(-2.96568405914028e+00dB,-4.46133476685970e+01°)
1.38721775404564e+09	(-3.85737509765555e+00dB,-8.42116115799152e+01°)	(-2.12323944012121e+01dB,-1.32603779831910e+02°)	(1.80630306789108e+01dB,-6.23047097877953e+01°)	(-2.99128185098649e+00dB,-4.47942966007583e+01°)
1.39520622083298e+09	(-3.87774302250516e+00dB,-8.46269851367713e+01°)	(-2.12027592552434e+01dB,-1.32772199100039e+02°)	(1.80400357315738e+01dB,-6.25826731368366e+01°)	(-3.01705984042653e+00dB,-4.49754906583605e+01°)
1.40324069020458e+09	(-3.89820504970902e+00dB,-8.50440310451203e+01°)	(-2.11732394981522e+01dB,-1.32940781761471e+02°)	(1.80168959306825e+01dB,-6.28613651850788e+01°)	(-3.04301869943378e+00dB,-4.51569264608896e+01°)
1.41132142707207e+09	(-3.91876032987221e+00dB,-8.54627544020989e+01°)	(-2.11438350068987e+01dB,-1.33109523905716e+02°)	(1.79936111100188e+01dB,-6.31407842364573e+01°)	(-3.06915909859350e+00dB,-4.53386007215723e+01°)
1.41944869787259e+09	(-3.93940798431696e+00dB,-8.58831603097156e+01°)	(-2.11145456443811e+01dB,-1.33278421586943e+02°)	(1.79701811151532e+01dB,-6.34209285566643e+01°)	(-3.09548170786173e+00dB,-4.55205101203453e+01°)
1.42762277057763e+09	(-3.96014710541629e+00dB,-8.63052539081756e+01°)	(-2.10853712628834e+01dB,-1.33447470877790e+02°)	(1.79466057999923e+01dB,-6.37017964267343e+01°)	(-3.12198719645259e+00dB,-4.57026513650712e+01°)
1.43584391470180e+09	(-3.98097675672313e+00dB,-8.67290403845897e+01°)	(-2.10563117052653e+01dB,-1.33616667889441e+02°)	(1.79228850255837e+01dB,-6.39833861628917e+01°)	(-3.14867623266151e+00dB,-4.58850212178414e+01°)
1.44411240131174e+09	(-4.00189597148636e+00dB,-8.71545249304620e+01°)	(-2.10273668001969e+01dB,-1.33786008701266e+02°)	(1.78990186648765e+01dB,-6.42656960459601e+01°)	(-3.17554948456345e+00dB,-4.60676164126204e+01°)
1.45242850303508e+09	(-4.02290375241840e+00dB,-8.75817128158057e+01°)	(-2.09985363692306e+01dB,-1.33955489465302e+02°)	(1.78750065956458e+01dB,-6.45487244256105e+01°)	(-3.20260762000830e+00dB,-4.62504337585692e+01°)
1.46079249406940e+09	(-4.04399907345674e+00dB,-8.80106092753878e+01°)	(-2.09698202175877e+01dB,-1.34125106279341e+02°)	(1.78508487097017e+01dB,-6.48324695932071e+01°)	(-3.22985130584985e+00dB,-4.64334700451414e+01°)
1.46920465019128e+09	(-4.06518087606129e+00dB,-8.84412196226148e+01°)	(-2.09412181425621e+01dB,-1.34294855302228e+02°)	(1.78265449044816e+01dB,-6.51169298968673e+01°)	(-3.25728120958186e+00dB,-4.66167221107356e+01°)
1.47766524876539e+09	(-4.08644806945333e+00dB,-8.88735492202823e+01°)	(-2.09127299313565e+01dB,-1.34464732725251e+02°)	(1.78020950852117e+01dB,-6.54021037126055e+01°)	(-3.28489799916105e+00dB,-4.68001868238275e+01°)
1.48617456875365e+09	(-4.10779953473104e+00dB,-8.93076033916168e+01°)	(-2.08843553555811e+01dB,-1.34634734705035e+02°)	(1.77774991704049e+01dB,-6.56879893769762e+01°)	(-3.31270234116961e+00dB,-4.69838610753545e+01°)
1.49473289072441e+09	(-4.12923411705426e+00dB,-8.97433875621843e+01°)	(-2.08560941798882e+01dB,-1.34804857471576e+02°)	(1.77527570832237e+01dB,-6.59745852948599e+01°)	(-3.34069490432020e+00dB,-4.71677417888934e+01°)
1.50334049686171e+09	(-4.15075063241885e+00dB,-9.01809071254348e+01°)	(-2.08279461538728e+01dB,-1.34975097229947e+02°)	(1.77278687595775e+01dB,-6.62618898409133e+01°)	(-3.36887635645649e+00dB,-4.73518259165490e+01°)
1.51199767097459e+09	(-4.17234786162347e+00dB,-9.06201675436216e+01°)	(-2.07999110181246e+01dB,-1.35145450235350e+02°)	(1.77028341420691e+01dB,-6.65499014343595e+01°)	(-3.39724736720429e+00dB,-4.75361104405017e+01°)
1.52070469850642e+09	(-4.19402455343309e+00dB,-9.10611743044663e+01°)	(-2.07719885026028e+01dB,-1.35315912779158e+02°)	(1.76776531816185e+01dB,-6.68386185247700e+01°)	(-3.42580860640805e+00dB,-4.77205924049761e+01°)
1.52946186654434e+09	(-4.21577942323833e+00dB,-9.15039328915944e+01°)	(-2.07441783228640e+01dB,-1.35486481133930e+02°)	(1.76523258412338e+01dB,-6.71280395368116e+01°)	(-3.45456074520186e+00dB,-4.79052688499831e+01°)
1.53826946382874e+09	(-4.23761115216595e+00dB,-9.19484488399233e+01°)	(-2.07164801855655e+01dB,-1.35657151632234e+02°)	(1.76268520905081e+01dB,-6.74181629488034e+01°)	(-3.48350445591684e+00dB,-4.80901368828872e+01°)
1.54712778076271e+09	(-4.25951838740424e+00dB,-9.23947277049957e+01°)	(-2.06888937859304e+01dB,-1.35827920632989e+02°)	(1.76012319081536e+01dB,-6.77089872587828e+01°)	(-3.51264041215336e+00dB,-4.82751936544904e+01°)
1.55603710942172e+09	(-4.28149974019008e+00dB,-9.28427750714007e+01°)	(-2.06614188075630e+01dB,-1.35998784516271e+02°)	(1.75754652821874e+01dB,-6.80005109790357e+01°)	(-3.54196928985345e+00dB,-4.84604363338806e+01°)
